Name,"Wikidata QID",abbreviation,"Official website",Copyright
"J. William Marriott Digital Library",Q611442,WML,https://collections.lib.utah.edu/,"© University of Utah"
"Heritage Library Royal Conservatoire Antwerp",Q2665388,KCA,https://www.libraryconservatoryantwerp.be/en/catalogues.html,"© Artesis Plantijn University College"
"Library Royal Conservatoire Ghent",Q2061988,KCG,https://www.cageweb.be/pages/nl/BGC,"© HOGENT University College"
AMVC-Letterenhuis,Q3813695,LHA,https://letterenhuis.be/,"© Letterenhuis Antwerp"
"Orpheus Institute",Q2289519,ORP,https://orpheusinstituut.be/,"© Orpheus Institute"
"Bibliothèque Nationale de France",Q193563,BNF,https://www.bnf.fr/fr,"© Bibliothèque Nationale de France"
"Bavarian State Library",Q256507,BSB,https://www.bsb-muenchen.de/en/,"© Bavarian State Library"
"National Museum in Kraków",Q195311,KNM,https://mnk.pl/,"© National Museum in Kraków"
"Saxon State Library",Q111220136,SLD,https://www.slub-dresden.de/en,"© Saxon State Library"
"University of Toronto Libraries",Q7896490,UTL,https://onesearch.library.utoronto.ca/,"© University of Toronto Libraries"
"Hamburg State and University Library Carl von Ossietzky",Q2324644,SUH,https://www.sub.uni-hamburg.de/en/service/english.html,"© Hamburg State and University Library Carl von Ossietzky"
"Biblioteca del Conservatorio Benedetto Marcello",Q113535639,CBM,https://www.conservatoriovenezia.eu/biblioteca/,"© Biblioteca del Conservatorio Benedetto Marcello"
"Werner Icking Music Archive",Q1811670,WIA,https://www.icking-music-archive.org/index.php,"Public Domain"
